Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Žampach,279854,Žampach 26,564 01,Žamberk,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Místní knihovna Žampach,1552,základní,public,Žampach 11,564 01,Žamberk,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15164/2002,
Obec Ropice,70305587,Ropice 110,739 56,Ropice,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna - Biblioteca Gminna Ropice,1553,základní,public,Ropice 110,739 56,Ropice,Frýdek-Místek,Moravskoslezský,, ,,15.00-19.00 ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15163/2002,
Obec Pravice,636932,Pravice 70,671 65,Břežany,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna v Pravicích,1554,základní,public,Pravice 70,671 65,Břežany,Znojmo,Jihomoravský,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15162/2002,
Obec Černá Voda,302473,Černá Voda 57,790 54,Černá Voda,Jeseník,Olomoucký,,obecní úřad,,,Obecní knihovna Černá Voda,1555,základní,public,Černá Voda 30,790 54,Černá Voda,Jeseník,Olomoucký,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15160/2002,
Obec Malá Morava,302970,Malá Morava,788 33,Hanušovice,Šumperk,Olomoucký,,obecní úřad,,,Obecní knihovna Malá Morava,1556,základní,public,Malá Morava 92,788 33,Hanušovice,Šumperk,Olomoucký,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15159/2002,
Obec Malá Morava,302970,Malá Morava,788 33,Hanušovice,Šumperk,Olomoucký,,obecní úřad,,,Místní knihovna Podlesí,1557,základní,public,Podlesí 135,788 33,Hanušovice,Šumperk,Olomoucký,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15159/2002,
Obec Vitčice,600091,Vitčice 31,798 27,Němčice nad Hanou,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Vitčice,1558,základní,public,Vitčice 75,798 27,Němčice nad Hanou,Prostějov,Olomoucký,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15243/2002,
Obec Jestřabí,837300,Jestřabí 1,763 33,Štítná nad Vláří,Zlín,Zlínský,,obecní úřad,,,Obecní knihovna Jestřabí,1559,základní,public,Jestřabí 1,763 33,Štítná nad Vláří,Zlín,Zlínský,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15253/2002,
Obec Pertoltice,236331,Pertoltice 54,285 22,Zruč nad Sázavou,Kutná Hora,Středočeský,,obecní úřad,,,Obecní knihovna v Pertolticích,1560,základní,public,Pertoltice 54,285 22,Zruč nad Sázavou,Kutná Hora,Středočeský,, ,, ,, ,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15245/2002,
Obec Ludgeřovice,300390,Markvartovická 48/52,747 14,Ludgeřovice,Opava,Moravskoslezský,,obecní úřad,,,Obecní knihovna v Ludgeřovicích,1561,základní,public,Markvartovická 48/52,747 14,Ludgeřovice,Opava,Moravskoslezský,, ,,10.00-17.00  -  8.00-12.00 - 10.00-17.00 ,,OPG511,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15238/2002,
Obec Opatov,277088,Opatov 159,569 12,Opatov,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Opatově,1562,základní,public,Opatov 159,569 12,Opatov,Svitavy,Pardubický,, ,, ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15229/2002,
Obec Dolní Lomná,535966,Dolní Lomná 164,739 91,Dolní Lomná,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna Dolní Lomná,1563,základní,public,Dolní Lomná 164,739 91,Dolní Lomná,Frýdek-Místek,Moravskoslezský,, ,,14.30-17.00 (+ ve dnech školního vyučování 12.30-17.00) ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15218/2002,
Knihovna Eduarda Petišky,67365965,Ivana Olbrachta 36,250 01,Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský,,poskytování veřejných knihovnických a informačních služeb,,,Knihovna Eduarda Petišky,1564,základní,public,Ivana Olbrachta 36,250 01,Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský,, ,www.knihovna.brandysnl.cz,"9.00-11.00. 12.00-18.00 (odd. pro dospělé), 12.00-17.00 (odd. pro děti) - 9.00-11.00. 12.00-17.00 (odd. pro dospělé), 12.00-17.00 (odd. pro děti) - 9.00-11.00, 12.00-18.00 (odd. pro dospělé) - 9.00-11.00. 12.00-16.00 (odd. pro dospělé), 12.00-16.00 (odd. ",,ABG503,2003-08-01,2002-10-23 00:00:00,Čermáková,"05.05.2022, 09.05.2024","St. Firstová, P. Doležalová",A,, ,,"k 15241/2002, MK 41539/2024 OUKKO",
Obec Soběnov,665657,Soběnov,382 41,Kaplice,Český Krumlov,Jihočeský,,obecní úřad,,,Obecní knihovna Soběnov,1565,základní,public,Soběnov,382 41,Kaplice,Český Krumlov,Jihočeský,, ,, ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15201/2002,
Obec Janov,276731,Janov 216,569 55,Janov,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Janově,1566,základní,public,Janov 216,569 55,Janov,Svitavy,Pardubický,, ,www.knihovnajanov.webk.cz, ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,2007-02-06 00:00:00,St. Firstová,A,,,,k 15199/2002,
Obec Vendryně,63026112,Vendryně 500,739 94,Vendryně,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna Vendryně,1567,základní,public,Vendryně 464,739 94,Vendryně,Frýdek-Místek,Moravskoslezský,,obec@vendryne.cz,,11.30-17.00 - 11.30-17.00 ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,,,,k 15183/2002,
Obec Řeřichy,639974,Řeřichy 39,270 35,Řeřichy,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna v Řeřichách,1568,základní,public,Řeřichy 39,270 35,Řeřichy,Rakovník,Středočeský,, ,, ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15170/2002,
Obec Bantice,600113,Bantice 14,671 61,Prosiměřice,Znojmo,Jihomoravský,,obecní úřad,,,Místní knihovna v Banticích,1569,základní,public,Bantice 14,671 61,Prosiměřice,Znojmo,Jihomoravský,, ,,7.00-15.00  -  7.00-15.00 - 7.00-18.00 - 7.00-15.00 - 7.00-15.00 ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15166/2002,
Obec Budíkov,247901,Budíkov 4,395 01,Humpolec,Pelhřimov,Vysočina,,obecní úřad,,,Obecní knihovna v Budíkově,1570,základní,public,Budíkov 4,395 01,Humpolec,Pelhřimov,Vysočina,, ,, ,, ,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15250/2002,
Obec Mšecké Žehrovice,244104,Mšecké Žehrovice 77,270 64,Mšecké Žehrovice,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna Mšecké Žehrovice,1571,základní,public,Mšecké Žehrovice 77,270 64,Mšecké Žehrovice,Rakovník,Středočeský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,V,2018-02-05 00:00:00,B. Štěpánová,,"k 15246/2002, MK 9928/2018 OULK","Vyřazena z evidence, knihovna zrušena"
Obec Mšecké Žehrovice,244104,Mšecké Žehrovice 77,270 64,Mšecké Žehrovice,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna Lodenice,1572,základní,public,Lodenice 16,270 64,Mšecké Žehrovice,Rakovník,Středočeský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,2024-05-13 00:00:00,P. Doležalová,V,2018-02-05 00:00:00,B. Štěpánová,,"k 15246/2002, MK 9928/2018 OULK","Vyřazena z evidence, knihovna zrušena"
Obec Dětřichov,831468,Dětřichov 2,464 01,Frýdlant v Čechách,Liberec,Liberecký,,obecní úřad,,,Místní lidová knihovna v Dětřichově,1573,základní,public,Dětřichov 2,464 01,Frýdlant v Čechách,Liberec,Liberecký,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15244/2002,
Obec Koryta,42716870,Koryta,294 11,Loukov,Mladá Boleslav,Středočeský,,obecní úřad,,,Místní knihovna Koryta,1574,základní,public,Koryta,294 11,Loukov,Mladá Boleslav,Středočeský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15232/2002,
Obec Chotěnov,276707,Chotěnov,570 01,Litomyšl,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Chotěnově,1575,základní,public,Chotěnov,570 01,Litomyšl,Svitavy,Pardubický,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15109/2002,
Obec Prasek,269344,Prasek 35,504 01,Nový Bydžov,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna v Prasku,1576,základní,public,Prasek 35,504 01,Nový Bydžov,Hradec Králové,Královéhradecký,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15111/2002,
Obec Kozlov,267660,Kozlov 31,584 01,Ledeč nad Sázavou,Havlíčkův Brod,Vysočina,,obecní úřad,,,Místní knihovna v Kozlově,1577,základní,public,Kozlov 31,584 01,Ledeč nad Sázavou,Havlíčkův Brod,Vysočina,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15112/2002,
Obec Zhořec,584070,Zhořec,395 01,Zhořec,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna ve Zhořci,1578,základní,public,Zhořec,395 01,Zhořec,Pelhřimov,Vysočina,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15113/2002,
Obec Povrly,266931,Mírová 165/7,403 32,Povrly,Ústí nad Labem,Ústecký,,obecní úřad,,,Obecní knihovna Povrly,1579,základní,public,Školní 76/3,403 32,Povrly,Ústí nad Labem,Ústecký,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,2025-06-27 00:00:00,P. Doležalová,A,, ,,"k 15083/2002, MK 51951/2025 OUKKO",
Obec Litohlavy,48379701,Litohlavy 64,337 01,Rokycany,Rokycany,Plzeňský,,obecní úřad,,,Obecní knihovna v Litohlavech,1580,základní,public,Litohlavy 64,337 01,Rokycany,Rokycany,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15067/2002,
Obec Záblatí,250848,Záblatí 9,384 33,Záblatí,Prachatice,Jihočeský,,obecní úřad,,,Obecní knihovna v Záblatí,1581,základní,public,Záblatí 9,384 33,Záblatí,Prachatice,Jihočeský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15075/2002,
Obec Písek,535982,Písek 51,739 84,Písek,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna Písek,1582,základní,public,Písek 51,739 84,Písek,Frýdek-Místek,Moravskoslezský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15079/2002,
Obec Libomyšl,233498,Libomyšl 71,267 23,Libomyšl,Beroun,Středočeský,,obecní úřad,,,Obecní knihovna v Libomyšli,1583,základní,public,Libomyšl 71,267 23,Libomyšl,Beroun,Středočeský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15081/2002,
Obec Letiny,256820,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Letiny,1584,základní,public,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 14983/2002,
Obec Letiny,256820,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Bzí,1585,základní,public,Bzí,336 01,Blovice,Plzeň-jih,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,V,2010-12-06 00:00:00,M. Fojtík,,k 14983/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Letiny,256820,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Chocenický Újezd,1586,základní,public,Chocenický Újezd,336 01,Blovice,Plzeň-jih,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,V,2012-02-29 00:00:00,M. Fojtík,,k 14983/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Letiny,256820,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Kbelnice,1587,základní,public,Kbelnice,336 01,Blovice,Plzeň-jih,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 14983/2002,
Obec Letiny,256820,Letiny 20,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Svárkov,1588,základní,public,Svárkov,336 01,Blovice,Plzeň-jih,Plzeňský,,,,,,,2003-08-01,2002-10-23 00:00:00,Čermáková,,,V,2010-12-06 00:00:00,M. Fojtík,,k 14983/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Černá v Pošumaví,245828,Černá v Pošumaví 46,382 23,Černá v Pošumaví,Český Krumlov,Jihočeský,,obecní úřad,,,Obecní knihovna v Černé v Pošumaví,1589,základní,public,Černá v Pošumaví 21,382 23,Černá v Pošumaví,Český Krumlov,Jihočeský,,,www.cernavposumavi.cz, ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15574/2002,
Obec Oslnovice,636908,Oslnovice 18,671 07,Uherčice,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna v Oslnovicích,1590,základní,public,Oslnovice 18,671 07,Uherčice,Znojmo,Jihomoravský,,,,16.00-18.00 - 15.00-17.00 ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15540/2002,
Obec Kunovice,635812,Kunovice 153,756 44,Loučka,Vsetín,Zlínský,,obecní úřad,,,Obecní knihovna Kunovice,1591,základní,public,Kunovice 153,756 44,Loučka,Vsetín,Zlínský,,,www.kunovice.knihovna.info,16.00-19.00 - dle dohody ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15539/2002,
Obec Bělá,534650,Bělá 150,747 23,Bělá,Opava,Moravskoslezský,,obecní úřad,,,Knihovna Bělá,1592,základní,public,Bělá 150,747 23,Bělá,Opava,Moravskoslezský,, ,,15.00-18.00 ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15586/2002,
Obec Těchonín,279633,Těchonín 80,561 66,Těchonín,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Místní knihovna Těchonín,1593,základní,public,Těchonín 80,561 66,Těchonín,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15587/2002,
Obec Červený Hrádek,476714,Červený Hrádek 14,380 01,Dačice,Jindřichův Hradec,Jihočeský,,obecní úřad,,,Obecní knihovna Červený Hrádek,1594,základní,public,Červený Hrádek 14,380 01,Dačice,Jindřichův Hradec,Jihočeský,, ,, ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15598/2002,
Obec Skaštice,488909,Skaštice 113,767 01,Kroměříž,Kroměříž,Zlínský,,obecní úřad,,,Obecní knihovna Skaštice,1595,základní,public,Skaštice 32,767 01,Kroměříž,Kroměříž,Zlínský,, ,, ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15600/2002,
Obec Nošovice,577049,Nošovice 58,739 51,Nošovice,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Místní knihovna Nošovice,1596,základní,public,Nošovice 58,739 51,Nošovice,Frýdek-Místek,Moravskoslezský,, ,, ,, ,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15306/2002,
"Regionální muzeum v Mikulově, příspěvková organizace",89613,Zámek 1,692 15,Mikulov,Brno-venkov,Jihomoravský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Regionálního muzea v Mikulově, příspěvkové organizace",1597,základní se specializovaným knihovním fondem,muzejní,Zámek 1,692 15,Mikulov,Brno-město,Jihomoravský,, ,, ,,BVE301,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15388/2002,
Nemocnice s poliklinikou v Novém Jičíně,844781,K nemocnici 76,741 11,Nový Jičín,Nový Jičín,Moravskoslezský,,poskytování zdravotnických služeb,,,Lékařská knihovna Nemocnice s poliklinikou v Novém Jičíně,1598,základní se specializovaným knihovním fondem,lékařská,K nemocnici 76,741 11,Nový Jičín,Nový Jičín,Moravskoslezský,, ,,"9.00-13.00, 13.30-14.30  -  9.00-13.00, 13.30-14.30 - 9.00-13.00, 13.30-14.30 - 9.00-13.00, 13.30-14.30 - 9.00-13.00, 13.30-14.30 ",,NJE201,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15467/2002,
Městská knihovna Lanškroun,195642,nám. A. Jiráska 142,563 01,Lanškroun,Ústí nad Orlicí,Pardubický,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Lanškroun,1599,základní,public,nám. A. Jiráska 142,563 01,Lanškroun,Ústí nad Orlicí,Pardubický,, ,, ,,UOG503,2003-08-01,2002-10-29 00:00:00,Čermáková,2005-03-02 00:00:00,St. Firstová,A,,,,k 15562/2002,
Město Jaroměřice nad Rokytnou,44065892,Komenského 1029,675 51,Jaroměřice nad Rokytnou,Třebíč,Vysočina,,zajišťování kulturních hodnot a aktivit,,,Městská knihovna Jaroměřice nad Rokytnou,1600,základní,public,Komenského 1029,675 51,Jaroměřice nad Rokytnou,Třebíč,Vysočina,, ,, ,,TRG507,2003-08-01,2002-10-29 00:00:00,Čermáková,2009-02-11 00:00:00,St. Firstová,A,,,,k 15572/2002,
Městské kulturní centrum Hořovice,67361897,Vrbnovská 1138,268 01,Hořovice,Beroun,Středočeský,,zajišťování kulturních hodnot a aktivit,,,Knihovna Ivana Slavíka Hořovice,1601,základní,public,Vrbnovská 30/1,268 01,Hořovice,Beroun,Středočeský,, ,,"12.00-17.00 (odd. pro děti), 12.00-17.00 (odd. pro studenty)  -  12.00-17.00 (odd. pro dospělé), 12.00-17.00 (odd. pro studenty) - 12.00-17.00 (odd. pro děti), 12.00-17.00 (odd. pro studenty) - 12.00-17.00 (odd. pro dospělé), 12.00-17.00 (odd. pro student",,BEG501,2003-08-01,2002-10-29 00:00:00,Čermáková,2017-10-17 00:00:00,Švastová,A,, ,,k 15571/2002,
Národní knihovna České republiky,23221,Klementinum 190,110 01,Praha 1,Praha,Hlavní město Praha,,"poskytování veřejných knihovnických a informačních služeb, centrum systému knihoven",,,Národní knihovna ČR,1602,specializovaná,NK ČR,Klementinum 190,110 01,Praha 1,Praha,Hlavní město Praha,,sekret.ur@nkp.cz,, ,,ABA000,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15410/2002,
Kancelář Poslanecké sněmovny České republiky,6572,Sněmovní 4,118 26,Praha 1,Praha,Hlavní město Praha,,"zabezpečení odborné, organizační a technické činnosti Sněmovny ČR",,,Parlamentní knihovna Kanceláře Poslanecké sněmovny ČR,1603,základní se specializovaným knihovním fondem,"justice, vláda, parlament, prezident",Sněmovní 4,118 26,Praha 1,Praha,Hlavní město Praha,, ,, ,,ABA011,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15427/2002,
Justiční akademie,70961808,Máchova 200,471 27,Stráž pod Ralskem,Česká Lípa,Liberecký,,"výchova a vzdělávání vyšších soudních úředníků, soudců a justičních čekatelů",,,Knihovna Justiční akademie,1604,základní se specializovaným knihovním fondem,,Máchova 200,471 27,Stráž pod Ralskem,Česká Lípa,Liberecký,, ,,"13.00-17.30 - 12.00-14.00, 16.00-20.30 - 13.00-16.30 - 10.00-13.00 ",,,2003-08-01,2002-10-29 00:00:00,Čermáková,,,V,2006-06-30 00:00:00,St. Firstová,,k 15397/2002,"Vyřazena z evidence, knihovna zrušena"
"Filosofický ústav AV ČR, v.v.i.",67985955,Jilská 1,110 00,Praha 1,Praha,Hlavní město Praha,,"vědecký výzkum v oblasti filozofie a příbuzných humanitních disciplín, zejména logiky, klasických a medievistických studií, komeniologie a teorie vědy",,,"Knihovna Kabinetu pro klasická studia FLÚ AV ČR, v.v.i.",1605,základní se specializovaným knihovním fondem,AV,Na Florenci 3,110 00,Praha 1,Praha,Hlavní město Praha,,knihovna@ics.cas.cz,, ,,ABB018,2007-07-19,2002-10-29 00:00:00,St. Firstová,2006-06-16 00:00:00,St. Firstová,A,,,,k 15319/2002,
Městská knihovna Písek,70869197,Alšovo nám. 85,397 01,Písek,Písek,Jihočeský,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Písek,1606,základní,public,Alšovo nám. 85,397 01,Písek,Písek,Jihočeský,,horalkov@knih-pi.cz,www.knih-pi.cz,10.00-18.00 - 10.00-18.00 - 10.00-18.00 - 9.00-12.00 ,,PIG001,2003-08-01,2002-10-29 00:00:00,Čermáková,2003-05-23 00:00:00,Čermáková,A,,,,k 15346/2002,
"AGRITEC, výzkum, šlechtění a služby, s.r.o.",48392952,Zemědělská 16,797 01,Šumperk,Šumperk,Olomoucký,,vědecký výzkum v oblasti zemědělství,,,"Knihovna AGRITEC, výzkum, šlechtění a služby, s.r.o.",1607,základní se specializovaným knihovním fondem,"zemědělství, ekologie, biologie, potravinářství, ovocnářství, lesnictví, zahradnictví",Zemědělská 16,797 01,Šumperk,Šumperk,Olomoucký,, ,, ,,SUC502,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15345/2002,
Město Úsov,303500,nám. Míru 86,789 73,Úsov,Šumperk,Olomoucký,,městský úřad,,,Městská knihovna Úsov,1608,základní,public,nám. Míru 86,789 73,Úsov,Šumperk,Olomoucký,, ,http://knihovna.usov.cz, ,,SUG507,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15599/2002,
Město Žacléř,278491,Rýchorské nám. 181,542 01,Žacléř,Trutnov,Královéhradecký,,městský úřad,,,Městská knihovna v Žacléři,1609,základní,public,Na pilíři 204,542 01,Žacléř,Trutnov,Královéhradecký,, ,, ,,TUG505,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15573/2002,
Město Vítkov,3008703,Wolkerova 890,749 01,Vítkov,Opava,Moravskoslezský,,městský úřad,,,Městská knihovna ve Vítkově,1610,základní,public,Selská 335,749 01,Vítkov,Opava,Moravskoslezský,, ,,13.00-17.00 (prázdniny 10.00-17.00) - 10.00-18.00 (prázdniny 10.00-17.00) - 13.00-16.00 ,,OPG508,2003-08-01,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15575/2002,
Město Frenštát pod Radhoštěm,297852,nám. Míru 1,744 01,Frenštát pod Radhoštěm,Nový Jičín,Moravskoslezský,,městský úřad,,,Městská knihovna Frenštát pod Radhoštěm,1611,základní,public,Dr. Parmy 254,744 01,Frenštát pod Radhoštěm,Nový Jičín,Moravskoslezský,, ,, ,,NJG502,2003-08-06,2002-10-29 00:00:00,Čermáková,2022-05-23 00:00:00,St. Firstová,A,, ,,k 15561/2002,
Město Hrušovany nad Jevišovkou,292877,nám. Míru 22,671 67,Hrušovany pod Jevišovkou,Znojmo,Jihomoravský,,městský úřad,,,Městská knihovna v Hrušovanech nad Jevišovkou,1612,základní,public,nám. Míru 22,671 67,Hrušovany pod Jevišovkou,Znojmo,Jihomoravský,, ,,13.30-18.30 - 13.30-16.00 - 12.00-18.30 ,,ZNG502,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15532/2002,
"Brána Trojzemí, příspěvková organizace",1851969,Horní nám. 71,463 34,Hrádek nad Nisou,Liberec,Liberecký,,"organizace a zajištění kulturních, společenských a sportovních akcí a podpory cestovního ruchu ve městě, provozování informačního centra, knihovny a muzea Hrádek nad Nisou ",,,Městská knihovna v Hrádku nad Nisou,1613,základní,public,Horní náměstí 71,463 34,Hrádek nad Nisou,Liberec,Liberecký,, ,,"9.00-14.30  -  9.00-12.30, 13.30-17.30 - 9.00-12.30, 13.30-17.30 ",,LIG506,2003-08-06,2002-10-29 00:00:00,Čermáková,2019-05-24 00:00:00,S. Poláková,A,, ,,"k 15489/2002,
MK 41063/2019 OULK",
Město Odry,298221,Masarykovo nám. 25,742 35,Odry,Nový Jičín,Moravskoslezský,,městský úřad,,,Městská knihovna v Odrách,1614,základní,public,Masarykovo nám. 51,742 35,Odry,Nový Jičín,Moravskoslezský,, ,, ,,NJG507,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15474/2002,
Město Horní Cerekev,248185,nám. T. G. Masaryka 41,394 03,Horní Cerekev,Pelhřimov,Vysočina,,městský úřad,,,Městská knihovna Horní Cerekev,1615,základní,public,nám. T. G. Masaryka 41,394 03,Horní Cerekev,Pelhřimov,Vysočina,, ,, ,,PEG503,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15432/2002,
Obec Drahelčice,233200,Na Návsi 25,252 19,Rudná,Praha-západ,Středočeský,,obecní úřad,,,Místní knihovna v Drahelčicích,1616,základní,public,Na Návsi 25,252 19,Rudná,Praha-západ,Středočeský,, ,, ,, ,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15589/2002,
Obec Držkov,262315,Držkov 9,468 24,Držkov,Jablonec nad Nisou,Liberecký,,obecní úřad,,,Místní knihovna Držkov,1617,základní,public,Držkov 9,468 24,Držkov,Jablonec nad Nisou,Liberecký,, ,, ,, ,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15522/2002,
Obec Hrubčice,288284,Hrubčice 10,798 21,Hrubčice,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Hrubčice,1618,základní,public,Hrubčice 10,798 21,Hrubčice,Prostějov,Olomoucký,, ,, (liché) 14.00-17.00 ,, ,2003-08-06,2002-10-29 00:00:00,Čermáková,,,A,, ,,k 15542/2002,
