Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Pristoupim|473766|Pristoupim 80|282 01|Cesky Brod|Kolin|Stredocesky||obecni urad|||Knihovna Pristoupim|647|zakladni|public|Pristoupim 80|282 01|Cesky Brod|Kolin|Stredocesky|| || || |2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12304/2002|
Obec Korenice|235466|Korenice 78|281 41|Ratbor|Kolin|Stredocesky||obecni urad|||Obecni knihovna Chotouchov|648|zakladni|public|Chotouchov 30|281 41|Ratbor|Kolin|Stredocesky|| || || |2003-06-25|2003-09-03 00:00:00|Cermakova|||A|| ||k 12306/2002|
Obec Vysoke Veseli|272418|Mirove nam. 9|507 03|Vysoke Veseli|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna Vysoke Veseli|649|zakladni|public|Mirove nam. 23|507 03|Vysoke Veseli|Jicin|Kralovehradecky|| || ||JCG512|2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12294/2002|
Obec Sudice|300713|nam. P. Arnosta Jureczky 13|747 25|Sudice|Opava|Moravskoslezsky||obecni urad|||Mistni knihovna Sudice|650|zakladni|public|nam. P. Arnosta Jureczky 13|747 25|Sudice|Opava|Moravskoslezsky|| |http://www.novesedlice.cz/knihovna/|17.00-18.00 || |2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12293/2002|
Obec Chotutice|235393|Prubezna 107|281 03|Radim|Kolin|Stredocesky||obecni urad|||Obecni knihovna Chotutice|651|zakladni|public|Prubezna 107|281 03|Radim|Kolin|Stredocesky|| || || |2003-06-25|2002-09-03 00:00:00|Cermakova|2008-06-24 00:00:00|St. Firstova|A||||k 12305/2002|
Mesto Jachymov|254622|nam. Republiky 1|362 51|Jachymov|Karlovy Vary|Karlovarsky||mestsky urad|||Mestska knihovna, kulturni a informacni centrum Jachymov|652|zakladni|public|nam. Republiky 1|362 51|Jachymov|Karlovy Vary|Karlovarsky||mesto@jachymov.cz|| ||KVG503|2003-06-25|2002-09-03 00:00:00|Cermakova|2022-03-14 00:00:00|St. Firstova|A|| ||k 12280/2002|
Knihovna mesta Ostravy, prispevkova organizace|97586|ul. 28. rijna 2|702 00|Ostrava|Ostrava-mesto|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Knihovna mesta Ostravy, prispevkova organizace|653|zakladni|public|ul. 28. rijna 2|702 00|Ostrava|Ostrava-mesto|Moravskoslezsky|| || ||OSG002|2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12355/2002|
Obec Novy Hradek|272884|Namesti 28|549 22|Novy Hradek|Nachod|Kralovehradecky||obecni urad|||Obecni knihovna v Novem Hradku|654|zakladni|public|Hradni 102|549 22|Novy Hradek|Nachod|Kralovehradecky|| |www.knihovnanovyhradek.webk.cz| || |2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12354/2002|
Mesto Kralovice|257966|Markova 2|331 41|Kralovice|Plzen-sever|Plzensky||mestsky urad|||Mestska knihovna Kralovice|655|zakladni|public|Markova 2|331 41|Kralovice|Plzen-sever|Plzensky||knihovna.kralovice@iol.cz|| ||PNG503|2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12362/2002|
Mesto Kralovice|257966|Markova 2|331 41|Kralovice|Plzen-sever|Plzensky||mestsky urad|||Mistni lidova knihovna v Hradecku|656|zakladni|public|Hradecko 67|331 41|Kralovice|Plzen-sever|Plzensky||knihovna.kralovice@iol.cz|| ||PNG503|2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12362/2002|
Obec Doudleby nad Orlici|274909|Dukelska 68|517 42|Doudleby nad Orlici|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Doudleby nad Orlici|657|zakladni|public|Dukelska 68|517 42|Doudleby nad Orlici|Rychnov nad Kneznou|Kralovehradecky|| |www.doudleby.cz/knihovna| ||RKG507|2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12364/2002|
Obec Strizovice|257273|Strizovice 66|332 07|Strizovice|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna ve Strizovicich|658|zakladni|public|Strizovice 66|332 07|Strizovice|Plzen-jih|Plzensky|| || || |2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12376/2002|
Obec Drnovice|557889|Drnovice 113|763 25|Ujezd u Valasskych Klobouk|Zlin|Zlinsky||obecni urad|||Mistni knihovna v Drnovicich|659|zakladni|public|Drnovice 113|763 25|Ujezd u Valasskych Klobouk|Zlin|Zlinsky|| |http://www.knihovnadrnovice.wz.cz/| || |2003-06-25|2002-09-03 00:00:00|Cermakova|||A|| ||k 12363/2002|
Obec Lisov|574104|Lisov|333 01|Stod|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna Lisov|660|zakladni|public|Lisov 3|333 01|Stod|Plzen-jih|Plzensky|| || || |2003-06-26|2002-09-03 00:00:00|Cermakova|||A|| ||k 12396/2002|
Obec Tojice|46810161|Tojice 4|335 01|Nepomuk 1|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna Tojice|661|zakladni|public|Tojice 4|335 01|Nepomuk 1|Plzen-jih|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12402/2002|
Obec Vrcen|257427|Vrcen 1|335 41|Vrcen|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna Vrcen|662|zakladni|public|Vrcen 137|335 41|Vrcen|Plzen-jih|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12401/2002|
Obec Vysoka Pec|872083|Vysoka Pec 109|362 21|Vysoka Pec|Karlovy Vary|Karlovarsky|zc5bwry|obecni urad|||Obecni knihovna Vysoka Pec|663|zakladni|public|Vysoka Pec 174|362 21|Vysoka Pec|Karlovy Vary|Karlovarsky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|2021-06-02 00:00:00|S. Polakova|A|| ||k 12397/2002; 52209/2021,  52209/2022 |
Obec Nectiny|258156|Nectiny 82|331 62|Manetin|Plzen-sever|Plzensky||obecni urad|||Knihovna Nectiny|664|zakladni|public|Nectiny 82|331 62|Manetin|Plzen-sever|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12393/2002|
Obec Radim|235661|Radim 6|281 03|Radim u Kolina|Kolin|Stredocesky||obecni urad|||Knihovna Nectiny|665|zakladni|public|Radim 6|281 03|Radim u Kolina|Kolin|Stredocesky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12436/2002|
Obec Nelahozeves|237094|Skolni 3|277 51|Nelahozeves|Melnik|Stredocesky||obecni urad|||Mistni knihovna v Nelahozevsi|666|zakladni|public|Skolni 55|277 51|Nelahozeves|Melnik|Stredocesky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12440/2002|
Mestska knihovna v Prerove, prispevkova organizace|70887616|Zerotinovo nam. 36|750 02|Prerov|Prerov|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna v Prerove, prispevkova organizace|667|zakladni|public|Zerotinovo nam. 36|750 02|Prerov|Prerov|Olomoucky||knihovna@knihovnaprerov.cz|www.knihovnaprerov.cz| ||PRG001|2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12421/2002|
Obec Premyslovice|288683|Premyslovice 281|798 51|Premyslovice|Prostejov|Olomoucky||obecni urad|||Obecni knihovna Premyslovice|668|zakladni|public|Premyslovice 281|798 51|Premyslovice|Prostejov|Olomoucky|| ||17.00-19.00 ||PVG512|2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12408/2002|
Obec Vigantice|304441|Vigantice 203|756 61|Vigantice|Vsetin|Zlinsky||obecni urad|||Mistni knihovna Vigantice|669|zakladni|public|Vigantice 203|756 61|Vigantice|Vsetin|Zlinsky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12406/2002|
Obec Sedliste|574244|Sedliste 63|335 01|Nepomuk 1|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna Sedliste|670|zakladni|public|Sedliste 63|335 01|Nepomuk 1|Plzen-jih|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12404/2002|
Obec Srby|574236|Srby 75|335 01|Nepomuk 1|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna Srby|671|zakladni|public|Srby 75|335 01|Nepomuk 1|Plzen-jih|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12403/2002|
Obec Bezverov|257541|Bezverov 101|330 41|Bezverov|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Buc|672|zakladni|public|Buc 35|330 41|Bezverov|Plzen-sever|Plzensky|| |||||2003-06-26|2002-09-04 00:00:00|Cermakova|||V|2005-12-31 00:00:00|St. Firstova||k 12420/2002|Vyrazena z evidence, knihovna zrusena
Obec Bezverov|257541|Bezverov 101|330 41|Bezverov|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Bezverov|673|zakladni|public|Bezverov 101|330 41|Bezverov|Plzen-sever|Plzensky|| || || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A||||k 12420/2002|
Obec Cechocovice|376779|Cechocovice 79|675 22|Starec|Trebic|Vysocina||obecni urad|||Obecni knihovna Cechocovice|674|zakladni|public|Cechocovice 6|675 22|Starec|Trebic|Vysocina|| ||16.00-18.00 || |2003-06-26|2002-09-04 00:00:00|Cermakova|||A|| ||k 12423/2002|
Knihovna Petra Bezruce v Opave, prispevkova organizace|318574|Nadrazni okruh 27|746 78|Opava|Opava|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Knihovna Petra Bezruce v Opave|675|zakladni|public|Nadrazni okruh 27|746 78|Opava|Opava|Moravskoslezsky||okpb@opava.cz|www.okpb.cz| ||OPG001|2003-06-26|2002-09-04 00:00:00|Cermakova|2010-02-08 00:00:00|St. Firstova|A||||k 12463/2002|
Obec Radenice|599719|Radenice 32|591 01|Zdar nad Sazavou|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Radenicich|676|zakladni|public|Radenice 32|591 01|Zdar nad Sazavou|Zdar nad Sazavou|Vysocina|| ||16.00-18.00 (zimni cas), 18.00-20.00 (letni cas) || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Podesin|545759|Podesin 45|592 12|Nizkov|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni lidova knihovna v Podesine|677|zakladni|public|Podesin 45|592 12|Nizkov|Zdar nad Sazavou|Vysocina|| ||17.30-19.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Chlumek|599433|Chlumek|594 42|Chlumek|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna v Chlumku|678|zakladni|public|Chlumek|594 42|Chlumek|Zdar nad Sazavou|Vysocina|| ||18.00-19.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Veltruby|235881|Sportovni 239|280 02|Kolin|Kolin|Stredocesky||obecni urad|||Obecni knihovna ve Veltrubech|679|zakladni|public|Sportovni 239|280 02|Kolin|Kolin|Stredocesky|| || || |2003-06-26|2002-09-09 00:00:00|Cermakova|2024-03-01 00:00:00|P. Dolezalova|A|| ||k 12479/2002, MK 18043/2024 OUKKO|
Obec Vidonin|295736|Vidonin|594 57|Vidonin|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna ve Vidonine|680|zakladni|public|Vidonin 58|594 57|Vidonin|Zdar nad Sazavou|Vysocina|| ||18.00-20.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Veprova|374440|Veprova 36|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna ve Veprove|681|zakladni|public|Veprova 36|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina|| ||17.00-18.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Pavlinov|599654|Pavlinov 100|594 01|Pavlinov|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Pavlinove|682|zakladni|public|Pavlinov 100|594 01|Pavlinov|Zdar nad Sazavou|Vysocina|| ||17.00-20.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Radostin nad Oslavou|295248|Radostin nad Oslavou|594 44|Radostin nad Oslavou|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna v Radostine nad Oslavou|683|zakladni|public|Radostin nad Oslavou 144|594 44|Radostin nad Oslavou|Zdar nad Sazavou|Vysocina|| ||17.00-18.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Lisek|294730|Lisek 80|592 45|Lisek|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna Lisek|684|zakladni|public|Lisek 87|592 45|Lisek|Zdar nad Sazavou|Vysocina|| ||16.00-18.00 || |2003-06-26|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Vecov|295621|Vecov 61|592 44|Vecov|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna Vecov|685|zakladni|public|Vecov 61|592 44|Vecov|Zdar nad Sazavou|Vysocina|| ||18.00-20.00 (letni cas), 17.00-19.00 (zimni cas) || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Vojnuv Mestec|295761|Vojnuv Mestec|591 01|Zdar nad Sazavou|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna ve Vojnove Mestci|686|zakladni|public|Vojnuv Mestec 27|591 01|Zdar nad Sazavou|Zdar nad Sazavou|Vysocina|| ||16.00-18.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Velka Losenice|295655|Velka Losenice 230|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna ve Velke Losenici|687|zakladni|public|Velka Losenice 38|592 11|Velka Losenice|Zdar nad Sazavou|Vysocina|| ||10.00-12.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Heralec|294306|Heralec|592 01|Heralec pod Zakovou horou|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Heralci|688|zakladni|public|Heralec 98|592 01|Heralec pod Zakovou horou|Zdar nad Sazavou|Vysocina|| ||13.00-17.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Dolni Becva|303747|Dolni Becva 340|756 55|Dolni Becva|Vsetin|Zlinsky||obecni urad|||Mistni knihovna v Dolni Becve|689|zakladni|public|Dolni Becva 340|756 55|Dolni Becva|Vsetin|Zlinsky|| || ||VSG520|2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12499/2002|
Obec Klaster|256765|Klaster 70|335 01|Nepomuk|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna v Klastere|690|zakladni|public|Klaster 70|335 01|Nepomuk|Plzen-jih|Plzensky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12487/2002|
Obec Mladotice|258121|Mladotice 14|331 41|Kralovice|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Mladotice|691|zakladni|public|Mladotice 14|331 41|Kralovice|Plzen-sever|Plzensky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12488/2002|
Obec Rozna|295329|Rozna 8|592 52|Rozna|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna Rozna|692|zakladni|public|Rozna 8|592 52|Rozna|Zdar nad Sazavou|Vysocina|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Radesinska Svratka|295205|Radesinska Svratka 134|592 33|Radesinska Svratka|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna v Radesinske Svratce|693|zakladni|public|Radesinska Svratka 134|592 33|Radesinska Svratka|Zdar nad Sazavou|Vysocina|| ||16.00-19.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12490/2002|
Obec Vazany|636681|Vazany 76|680 01|Boskovice|Blansko|Jihomoravsky||obecni urad|||Obecni knihovna Vazany|694|zakladni|public|Vazany 76|680 01|Boskovice|Blansko|Jihomoravsky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12607/2002|
Obec Nedasova Lhota|226211|Nedasova Lhota 10|763 32|Nedasov|Zlin|Zlinsky||obecni urad|||Mistni knihovna Nedasova Lhota|695|zakladni|public|Nedasova Lhota 10|763 32|Nedasov|Zlin|Zlinsky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12602/2002|
Obec Studlov|277479|Studlov|569 04|Brnenec|Svitavy|Pardubicky||obecni urad|||Obecni knihovna ve Studlove|696|zakladni|public|Studlov 26|569 04|Brnenec|Svitavy|Pardubicky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12594/2002|
Obec Stichovice|18246079|Stichovice 36|331 41|Kralovice|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Stichovice|697|zakladni|public|Stichovice 36|331 41|Kralovice|Plzen-sever|Plzensky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12507/2002|
Obec Teplice nad Becvou|636622|Teplice nad Becvou 53|753 01|Hranice|Prerov|Olomoucky||obecni urad|||Mistni knihovna v Teplicich nad Becvou|698|zakladni|public|Teplice nad Becvou 53|753 01|Hranice|Prerov|Olomoucky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12511/2002|
Krajska galerie vytvarneho umeni ve Zline|94889|nam. T. G. Masaryka 2570|762 27|Zlin|Zlin|Zlinsky||odborne shromazdovani a spravovani malirskych, socharskych a grafickych del|||Knihovna Krajske galerie vytvarneho umeni ve Zline|699|zakladni se specializovanym knihovnim fondem|kultura (galerie)|nam. T. G. Masaryka 2570|762 27|Zlin|Zlin|Zlinsky|| || ||ZLE002|2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12605/2002|
Obec Bratronice|234192|Bratronice 35|273 63|Bratronice|Kladno|Stredocesky||obecni urad|||Obecni knihovna v Bratronicich|700|zakladni|public|Bratronice 35|273 63|Bratronice|Kladno|Stredocesky|| || || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12604/2002|
Obec Oleksovice|637475|Oleksovice 69|671 62|Oleksovice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Oleksovice|701|zakladni|public|Oleksovice 69|671 62|Oleksovice|Znojmo|Jihomoravsky|| ||15.00-17.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12603/2002|
Obec Vejprnice|258474|Mirova 17|330 27|Vejprnice|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Vejprnice|702|zakladni|public|Mirova 17|330 27|Vejprnice|Plzen-sever|Plzensky|| || ||PNG518|2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12589/2002|
Obec Pohled|268062|Revolucni 39|582 21|Pohled|Havlickuv Brod|Vysocina||obecni urad|||Mistni knihovna v Pohledu|703|zakladni|public|Revolucni 39|582 21|Pohled|Havlickuv Brod|Vysocina|| ||16.00-18.00 || |2003-06-30|2002-09-09 00:00:00|Cermakova|||A|| ||k 12558/2002|
Biofyzikalni ustav Akademie ved CR, v.v.i.|68081707|Kralovopolska 135|612 65|Brno|Brno-mesto|Jihomoravsky||shromazdovani, zpracovavani, uchovavani a zpristupnovani vedeckych informaci|||Knihovna Biofyzikalniho ustavu Akademie ved CR, v.v.i.|704|zakladni se specializovanym knihovnim fondem|AV|Kralovopolska 135|612 65|Brno|Brno-mesto|Jihomoravsky|| || ||BOB002|2003-06-30|2002-09-18 00:00:00|Cermakova|2007-07-18 00:00:00|St. Firstova|A||||k 12938/2002|
Mestska knihovna Tabor|70886334|Jiraskova 1775|390 01|Tabor|Tabor|Jihocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Tabor|705|zakladni|public|Jiraskova 1775|390 01|Tabor|Tabor|Jihocesky||kontakt@vkta.cz|www.knihovnatabor.cz| |Docasna adresa knihovny do roku 2026: Zizkovo namesti 10, 390 01 Tabor; korespondencni adresa: Jiraskova 1775, 390 01 Tabor|TAG001|2003-06-30|2002-09-18 00:00:00|Cermakova|23.06.2006, 08.07.2024|St. Firstova, P. Dolezalova|A||||k 12700/2002|Doplneni informace ve sloupci Q - docasna a korespondencni adresa
Mestska knihovna Chrudim|49751|Filistinska 36|537 49|Chrudim|Chrudim|Pardubicky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Chrudim|706|zakladni|public|Filistinska 36|537 49|Chrudim|Chrudim|Pardubicky|| |www.knihovna-cr.cz|9.00-18.00 (odd. pro dospele), 13.00-17.00 (odd. pro deti), 9.00-18.00 (odd. hudebni), 9.00-18.00 (odd. informacni) - 9.00-18.00 (odd. pro dospele), 13.00-17.00 (odd. pro deti), 9.00-18.00 (odd. hudebni), 9.00-18.00 (odd. informacni) - 9.00-18.00 (odd. pr||CRG001|2003-06-30|2002-09-18 00:00:00|Cermakova|||A|| ||k 12699/2002|
Mestska knihovna Kolin|61883425|Husova 69|280 00|Kolin I|Kolin|Stredocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Kolin|707|zakladni|public|Husova 69|280 00|Kolin I|Kolin|Stredocesky|| |www.knihovnakolin.cz| ||KOG001|2003-06-30|2002-09-18 00:00:00|Cermakova|||A|| ||k 12985/2002|
Mestska knihovna Lipnik nad Becvou|70866341|nam. T. G. Masaryka 11|751 31|Lipnik nad Becvou|Prerov|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Lipnik nad Becvou|708|zakladni|public|nam. T. G. Masaryka 11|751 31|Lipnik nad Becvou|Prerov|Olomoucky||knihovna@lipniknb.cz|www.mek-lipniknb.cz| ||PRG502|2003-06-30|2002-09-18 00:00:00|Cermakova|||A|| ||k 12616/2002|
Obec Dobriv|258679|Dobriv 305|338 44|Dobriv|Rokycany|Plzensky||obecni urad|||Mistni knihovna Dobriv|709|zakladni|public|Dobriv 305|338 44|Dobriv|Rokycany|Plzensky|| ||15.00--17.00 - 15.00--17.00 || |2003-06-30|2002-09-18 00:00:00|Cermakova|||A|| ||k 12845/2002|
Mesto Jilove u Prahy|241326|Jilove u Prahy|254 01|Jilove u Prahy|Praha-zapad|Stredocesky||mestsky urad|||Mestska knihovna Jilove u Prahy|710|zakladni|public|Jilove u Prahy|254 01|Jilove u Prahy|Praha-zapad|Stredocesky|| || ||ABG|2003-06-30|2002-09-18 00:00:00|Cermakova|||A|| ||k 12762/2002|
Obec Horni Mesto|296015|Horni Mesto 97|793 44|Horni Mesto|Bruntal|Moravskoslezsky||obecni urad|||Obecni knihovna v Hornim Meste|711|zakladni|public|Zakladni skola 231|793 44|Horni Mesto|Bruntal|Moravskoslezsky||obec.hornimesto@c-box.cz|| || |2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 12711/2002|
Obec Opatovec|579602|Opatovec 40|568 02|Svitavy|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Opatovci|712|zakladni|public|Opatovec 40|568 02|Svitavy|Svitavy|Pardubicky|| || || |2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 12702/2002|
Obec Lenora|250538|Lenora 36|384 42|Lenora|Prachatice|Jihocesky||obecni urad|||Mistni lidova knihovna v Lenore|713|zakladni|public|Lenora 36|384 42|Lenora|Prachatice|Jihocesky|| ||14.00-16.00 || |2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 11882/2002|
Obec Navojna|226220|Navojna 101|763 32|Navojna|Zlin|Zlinsky||obecni urad|||Mistni knihovna v Navojne|714|zakladni|public|Navojna 101|763 32|Navojna|Zlin|Zlinsky|| || ||ZLG516|2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 12720/2002|
Obec Jablunka|303852|Jablunka 365|756 23|Vsetin|Vsetin|Zlinsky||obecni urad|||Zakladni knihovna Jablunka|715|zakladni|public|Jablunka 365|756 23|Vsetin|Vsetin|Zlinsky|| | www.knihovnajablunka.wz.cz| ||VSG510|2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 12698/2002|
Obec Predmerice nad Jizerou|238473|Predmerice nad Jizerou 132|294 74|Predmerice nad Jizerou|Mlada Boleslav|Stredocesky||obecni urad|||Mistni knihovna v Predmericich nad Jizerou|716|zakladni|public|Predmerice nad Jizerou 132|294 74|Predmerice nad Jizerou|Mlada Boleslav|Stredocesky|| || || |2003-07-01|2002-09-18 00:00:00|Cermakova|||A|| ||k 12701/2002|
